,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
418,8.89801E+11,285643406,Lenovo,,80LS001JUS,285643406,889800996917,00889800996917,,,,,,Yes,Yes,3,,16:9,,"14""",,,,,,Notebook,80LS001JUS,Lenovo Group Limited,80LS001JUS,B40-80 80LS001JUS Notebook,B40-80,Lenovo,4 GB,DDR3L SDRAM, B40-80 80LS001JUS Notebook Lithium Ion Battery AC Adapter ,Yes,RoHS,Yes,,,,,,,,,,1.70 GHz,Core i3,i3-4005U,Dual-core (2 Core),Intel,Windows 10,,Windows,,Yes,,,
419,8.88864E+11,290195587,ACER - TABLETS,,NT.G8VAA.003,290195587,888863519347,00888863519347,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8VAA.003,"Acer, Inc",SW3-016-13VA,Aspire SW3-016-13VA Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-13VA Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
420,8.88864E+11,290195574,ACER - TABLETS,,NT.G8YAA.002,290195574,888863519378,00888863519378,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8YAA.002,"Acer, Inc",SW3-016-1275,Aspire SW3-016-1275 Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-1275 Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
423,7.35858E+11,276883150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,8.84116E+11,292336521,Dell Marketing USA  LP,,i3000-101SLV,292336521,884116204541,00884116204541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,8.89894E+11,288375735,HP INC.,,N0B02AA #ABA,288375735,889894288141,00889894288141,,,,,,Yes,,4,4,,,,Intel,HD Graphics,DDR3L SDRAM,Shared,,Desktop Computer,N0B02AA #ABA,HP Inc.,300-240,Pavilion Mini Desktop - 300-240 (ENERGY STAR),300-200,HP,2 GB,DDR3L SDRAM, Pavilion Mini Desktop - 300-240 (ENERGY STAR) Power Adapter Wireless Keyboard Wireless Mouse USB Receiver ,Yes,ENERGY STAR /  EPEAT Silver,Yes,Yes,,1.46 lb,,"2.1""","5.7""","5.7""",,,1.50 GHz,Celeron,3205U,,Intel,Windows 10 Home,,Windows,1 Year,,,,
429,8.86228E+11,292335432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,8.879E+11,271838125,ACER - TABLETS,,NT.L67AA.001,271838125,887899858932,00887899858932,,,,,Yes,,,,,16:9,1366 x 768,"11.6""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.L67AA.001,"Acer, Inc",SW5-111-194G,Aspire SW5-111-194G Net-tablet PC,SW5-111,Acer,2 GB,LPDDR3,Aspire SW5-111-194G Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,3.22 lb,,"1""","11.7""","8.1""",No,,1.33 GHz,Atom,Z3745,Quad-core (4 Core),Intel,Windows 8.1,32-bit,Windows,,,,,32 GB
433,8.879E+11,265607810,Acer,,NX.MKEAA.005,265607810,887899648601,00887899648601,,3-cell,7.50 Hour,No,Yes,Yes,,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Chromebook,NX.MKEAA.005,"Acer, Inc",C720P-29554G03aww,C720P-29554G03aww Notebook,C720P,Acer,4 GB,DDR3L SDRAM,C720P-29554G03aww NotebookLithium Polymer BatteryAC Adapter,Yes,EPEAT Silver,Yes,Yes,IEEE 802.11a/b/g/n,2.87 lb,White,"0.8""","11.3""","8""",No,32 GB,1.40 GHz,Celeron,2955U,Dual-core (2 Core),Intel,Chrome OS,64-bit,Chrome OS,1 Year,,,Yes,
436,8.88864E+11,290663870,Acer,,NT.G1WAA.005,290663870,888863519309,00888863519309,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,NT.G1WAA.005,"Acer, Inc",SW3-013-15UB,Aspire SW3-013-15UB 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-15UB 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
438,8.89955E+11,289208928,Lenovo,Lenovo,10G9000NUS,289208928,889955459626,00889955459626,,,,,,,,6,6,,,,Intel,HD Graphics,DDR3L SDRAM,Shared,,Desktop Computer,10G9000NUS,Lenovo Group Limited,10G9000NUS,ThinkCentre M600 10G9000NUS Desktop Computer,M600,Lenovo,4 GB,DDR3L SDRAM, ThinkCentre M600 10G9000NUS Desktop Computer Keyboard Mouse Floor Stand Windows 10 Pro License Media AC/DC Adapter ,Yes,EPEAT Silver /  ErP Lot 3 /  GREENGUARD /  ENERGY STAR 6.0 /  RoHS,Yes,Yes,,2.90 lb,Black,"1.4""","7.1""","7.2""",No,,1.60 GHz,Pentium,N3700,,Intel,Windows 7 Professional Upgradable to Windows 10 Pro,64-bit,Windows,3 Year,,,,
444,8.88864E+11,290195559,ACER - TABLETS,,NT.G8XAA.002,290195559,888863519361,00888863519361,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8XAA.002,"Acer, Inc",SW3-016-17QP,Aspire SW3-016-17QP Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-17QP Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
445,22265896495,285916194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,8.87899E+11,258369672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,8.898E+11,292336174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,8.86228E+11,292339862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,8.89233E+11,276650639,Lenovo,,20DH002TUS,276650639,889233224601,00889233224601,,6-cell,6.30 Hour,No,,Yes,Yes,3,2,16:9,1366 x 768,"15.6""",AMD,Radeon R7 M260DX /  Radeon R6,DDR3 SDRAM /  DDR3L SDRAM,Dedicated /  Shared,,Mobile Workstation,20DH002TUS,Lenovo Group Limited,20DH002TUS,ThinkPad E555 20DH002TUS Notebook,E555,Lenovo,4 GB,DDR3L SDRAM, ThinkPad E555 20DH002TUS Notebook Lithium Ion Battery AC Adapter Windows 8.1 Pro 64-bit (License Media) ,Yes,ENERGY STAR /  RoHS /  EPEAT Gold,Yes,Yes,IEEE 802.11b/g/n,5.20 lb,Graphite Black,"1.1""","14.8""","10""",DVD-Writer,,1.90 GHz,A-Series,A10-7300,Quad-core (4 Core),AMD,Windows 7 Professional Upgradable to Windows 8.1 Pro (English),64-bit,Windows,1 Year,Yes,,No,
453,8.879E+11,276319272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,22265965832,292341341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,8.89895E+11,294785523,Hewlett Packard,,P4C42UA#ABA,294785523,889894928443,00889894928443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,8.88864E+11,292051292,Acer,,NX.VBWAA.001,292051292,888863509331,00888863509331,,4-cell,,No,Yes,Yes,Yes,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Notebook,NX.VBWAA.001,"Acer, Inc",TMB116-M-C0YH,TravelMate TMB116-M-C0YH Notebook,B116-M,Acer,4 GB,DDR3L SDRAM,TravelMate TMB116-M-C0YH NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,2.76 lb,,"0.8""","11.5""","8.3""",No,,1.60 GHz,Celeron,N3050,Dual-core (2 Core),Intel,Windows 7 Professional Upgradable to Windows 10 Pro,64-bit,Windows,,,,,
457,8.89296E+11,285726865,Hewlett Packard,,15-R132WM-PB-RC,285726865,889296076827,00889296076827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,8.86228E+11,254174065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,8.89895E+11,291690687,HP INC. - SB NOTEBOOKS,,T6D95UT#ABA,291690687,889894702265,00889894702265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,8.89234E+11,279188096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,8.84116E+11,270617640,Dell,,i3541-5001BLK,270617640,884116145240,00884116145240,,4-cell,,,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",AMD,Radeon R4 Graphics,DDR3L SDRAM,Shared,TrueLife,Notebook,i3541-5001BLK,"Dell, Inc",15-3541,Inspiron 15-3541 Notebook,15 3000,Dell,8 GB,DDR3L SDRAM, Inspiron 15-3541 Notebook Lithium Ion Battery AC Adapter ,Yes,EPEAT Silver /  ENERGY STAR,Yes,Yes,IEEE 802.11b/g/n,5.51 lb,Black,"1.1""","15""","10.5""",DVD-Writer,,2.40 GHz,A-Series,A6-6310,Quad-core (4 Core),AMD,Windows 8.1 (English),64-bit,Windows,,Yes,,Yes,
466,8.88794E+11,270163053,HP CONSUMER ENTRY,,J9V55UA#ABA,270163053,888793547052,00888793547052,,3-cell,,,,,,,,16:9,1366 x 768,"14""",AMD,Radeon R3 Graphics,,Shared,BrightView,Notebook,J9V55UA#ABA,HP Inc.,14-z010nr,Stream Notebook - 14-z010nr (ENERGY STAR),14-z000,HP,2 GB,, Stream Notebook - 14-z010nr (ENERGY STAR) Standard Battery AC Adapter ,Yes,ENERGY STAR,Yes,Yes,IEEE 802.11b/g/n,,Natural Silver /  Modern Silver,,,,,,1 GHz,A-Series,A4 Micro-6400T,Quad-core (4 Core),AMD,Windows 8.1,,Windows,,,,No,
467,8.88772E+11,265461409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,8.89233E+11,276888787,Lenovo,Lenovo,20DU0009US,276888787,889233046753,00889233046753,,4-cell,8 Hour,No,Yes,Yes,No,2,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,20DU0009US,Lenovo Group Limited,20DU0009US,ThinkPad 11e Chromebook 20DU0009US Notebook,11e Chromebook,Lenovo,4 GB,DDR3L SDRAM,ThinkPad 11e Chromebook 20DU0009US&amp;nbsp;NotebookAC Adapter,Yes,ENERGY STAR 6.0 /  EPEAT Gold /  RoHS /  GREENGUARD,Yes,Yes,IEEE 802.11ac,3.09 lb,Graphite Black,"0.9""","11.8""","8.5""",No,,1.83 GHz,Celeron,N2940,Quad-core (4 Core),Intel,Chrome OS,,Chrome OS,1 Year,Yes,,No,16 GB
469,8.88793E+11,292333222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,8.88863E+11,289116065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,8.89233E+11,276476316,Lenovo,,20DH002QUS,276476316,889233225950,00889233225950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,8.88793E+11,285928523,Hewlett Packard,,15-g035wm,285928523,888793402887,00888793402887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,22265927892,285570946,Toshiba,Toshiba,C55D-B5102,285570946,022265927892,00022265927892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,8.89894E+11,297509655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,8.87899E+11,260974729,Acer,,NX.MHGAA.001,260974729,887899435058,00887899435058,,4-cell,4 Hour,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Notebook,NX.MHGAA.001,"Acer, Inc",E1-532-29574G50Mnrr,Aspire E1-532-29574G50Mnrr Notebook,E1-532,Acer,4 GB,DDR3L SDRAM,Aspire E1-532-29574G50Mnrr NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.18 lb,Red,"1""","15""","10.1""",DVD-Writer,,1.40 GHz,Celeron,2957U,Dual-core (2 Core),Intel,Windows 7 Home Premium,64-bit,Windows,,,,,
487,8.88863E+11,277111445,ACER- CHROME PRODUCTS,,NX.EF3AA.003,277111445,888863051021,00888863051021,,4-cell,,No,,Yes,,2,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3L SDRAM,Shared,ComfyView,Chromebook,NX.EF3AA.003,"Acer, Inc",C910-C453,C910-C453 Notebook,C910,Acer,4 GB,DDR3L SDRAM,C910-C453 NotebookLithium Polymer BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n/ac,4.85 lb,Black,"1""","15.1""","10.1""",No,16 GB,1.50 GHz,Celeron,3205U,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,,,,,
488,8.84116E+11,276661931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,8.84116E+11,292341267,Dell Marketing USA  LP,,i5551-1667BLK,292341267,884116167075,00884116167075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,8.879E+11,277111437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,8.84116E+11,268141845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,8.85909E+11,210459854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,8.89297E+11,281800383,Hewlett Packard,,M5G69UTABA,281800383,889296686590,00889296686590,,3-cell,6.25 Hour,,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics 4400,DDR3L SDRAM,Shared,,Notebook,M5G69UT#ABA,HP Inc.,,250 G3 Notebook,250 G3,HP,4 GB,DDR3L SDRAM,250 G3 NotebookLithium Ion BatteryAC Adapter,Yes,EPEAT Silver,Yes,Yes,,4.83 lb,Black Licorice,"1""","14.9""","10.2""",No,,1.70 GHz,Core i3,i3-4005U,Dual-core (2 Core),Intel,Windows 8.1,64-bit,Windows,,Yes,,No,
500,8.88863E+11,292342371,Acer,,SW3-013-12PS,292342371,888863333035,00888863333035,,2-cell,,No,Yes,,,,,16:10,1280 x 800,"10.1""",Intel,HD Graphics,DDR3L SDRAM,Shared,In-plane Switching (IPS) Technology,2 in 1 Netbook,SW3-013-12PS,"Acer, Inc",SW3-013-12PS,Aspire SW3-013-12PS 2 in 1 Netbook,SW3-013,Acer,2 GB,DDR3L SDRAM,Aspire SW3-013-12PS 2 in 1 NetbookLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.33 GHz,Atom,Z3735F,Quad-core (4 Core),Intel,Windows 10 Home,32-bit,Windows,,Yes,Yes,Yes,
501,8.89894E+11,292333710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,8.89349E+11,287875108,Asus,Asus,90NB0748-M03650,287875108,889349161753,00889349161753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,8.88794E+11,292340823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,8.88793E+11,275597008,Hewlett Packard,,J8P60UA,275597008,888793452189,00888793452189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,8.89296E+11,292333392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,8.89297E+11,282382881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,8.88864E+11,290195575,ACER - TABLETS,,NT.G8QAA.001,290195575,888863519323,00888863519323,,,,,Yes,,,1,1,16:10,1280 x 800,"10.1""",Intel,HD Graphics,LPDDR3,Shared,In-plane Switching (IPS) Technology,Net-tablet PC,NT.G8QAA.001,"Acer, Inc",SW3-016-19CR,Aspire SW3-016-19CR Net-tablet PC,SW3-016,Acer,2 GB,LPDDR3,Aspire SW3-016-19CR Net-tablet PCLithium Polymer BatteryAC Adapter Keyboard Dock,,,Yes,Yes,IEEE 802.11a/b/g/n,2.65 lb,,"0.9""","10.3""","7.1""",No,,1.44 GHz,Atom x5,x5-Z8300,Quad-core (4 Core),Intel,Windows 10 Home,64-bit,Windows,,,,,64 GB
520,1.90152E+11,293243696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,1.90152E+11,294600069,Lenovo,Lenovo,80QQ00JGUS,294600069,190151712348,00190151712348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,12304220725,260974729,Acer,,NX.MHGAA.001,260974729,887899435058,00887899435058,,4-cell,4 Hour,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Notebook,NX.MHGAA.001,"Acer, Inc",E1-532-29574G50Mnrr,Aspire E1-532-29574G50Mnrr Notebook,E1-532,Acer,4 GB,DDR3L SDRAM,Aspire E1-532-29574G50Mnrr NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.18 lb,Red,"1""","15""","10.1""",DVD-Writer,,1.40 GHz,Celeron,2957U,Dual-core (2 Core),Intel,Windows 7 Home Premium,64-bit,Windows,,,,,
527,81159921040,292339479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,8.86228E+11,270607159,ASUS - CHROMEBOOK,,C300MA-EDU2,270607159,886227891962,00886227891962,,3-cell,8 Hour,,,Yes,,2,1,16:9,1366 x 768,"13.3""",Intel,HD Graphics,DDR3L SDRAM,Shared,,Chromebook,90NB05W1-M00530,ASUS Computer International,C300MA-EDU2,Chromebook C300MA-EDU2 Notebook,C300MA,Asus,4 GB,DDR3L SDRAM, Chromebook C300MA-EDU2 Notebook Lithium Polymer Battery AC Adapter User E-Manual Warranty Card ,Yes,RoHS /  ENERGY STAR 4.0,Yes,Yes,IEEE 802.11ac,3.10 lb,Black,"0.9""","13""","9.1""",No,,2.16 GHz,Celeron,N2830,Dual-core (2 Core),Intel,Chrome OS,,Chrome OS,1 Year,Yes,,No,
529,8.86228E+11,276845668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,8.89349E+11,292074460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,8.89561E+11,292336718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,8.84116E+11,288034951,Dell Consumer,,i5558-2572BLK,288034951,884116168034,00884116168034,,4-cell,7 Hour,,,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics 5500,DDR3L SDRAM,Shared,TrueLife,Notebook,i5558-2572BLK,"Dell, Inc",15 5558,Inspiron 15 5558 Notebook,15 5000,Dell,4 GB,DDR3L SDRAM, Inspiron 15 5558 Notebook Lithium Ion Battery AC Adapter ,Yes,EPEAT Silver /  ENERGY STAR 6.0,Yes,Yes,IEEE 802.11ac,4.90 lb,Glossy Black,"0.9""","13.6""","9.6""",,,2.10 GHz,Core i3,i3-5015U,Dual-core (2 Core),Intel,Windows 10 Home (English),64-bit,Windows,,Yes,,Yes,
535,7.25184E+11,283973931,HP INC. - SB NOTEBOOKS,,N2S77UT#ABA,283973931,725184119309,00725184119309,,3-cell,,,,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",AMD,Radeon R2 Graphics,DDR3L SDRAM,Shared,,Notebook,N2S77UT#ABA,HP Inc.,,255 G4 Notebook PC (ENERGY STAR),255 G4,HP,4 GB,DDR3L SDRAM, 255 G4 Notebook PC (ENERGY STAR) Lithium Ion Battery AC Adapter ,Yes,IT Eco Declaration /  WEEE /  RoHS /  EU WEEE /  ENERGY STAR /  EPEAT Silver /  REACH,Yes,Yes,IEEE 802.11b/g/n,4.73 lb,,"1""","15.1""","10""",,,1.40 GHz,E-Series,E1-6015,Dual-core (2 Core),AMD,Windows 8.1,64-bit,Windows,1 Year,Yes,,,
536,8.84116E+11,270725172,Dell,,i3148-6840sLV,270725172,884116147954,00884116147954,,,,,Yes,Yes,,3,1,16:9,1366 x 768,"11.6""",Intel,HD Graphics 4400,DDR3L SDRAM,Shared,TrueLife,2 in 1 Netbook,i3148-6840sLV,"Dell, Inc",11-3148,Inspiron 11-3148 2 in 1 Netbook,11 3000,Dell,4 GB,DDR3L SDRAM,Inspiron 11-3148 2 in 1 NetbookStandard BatteryAC Adapter,Yes,ENERGY STAR 5.2 /  EPEAT Silver,Yes,Yes,IEEE 802.11b/g/n,3.11 lb,Silver,"0.7""","11.8""","7.9""",,,1.70 GHz,Core i3,i3-4010U,Dual-core (2 Core),Intel,Windows 8.1 (English),64-bit,Windows,,,,Yes,
538,8.88863E+11,284926815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,8.87899E+11,260974726,Acer,,NX.MHGAA.002,260974726,887899443244,00887899443244,,4-cell,4 Hour,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"15.6""",Intel,HD Graphics,DDR3 SDRAM,Shared,,Notebook,NX.MHGAA.002,"Acer, Inc",E1-532-35584G50Mnrr,Aspire E1-532-35584G50Mnrr Notebook,E1-532,Acer,4 GB,DDR3L SDRAM,Aspire E1-532-35584G50Mnrr NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11b/g/n,5.18 lb,Red,"1""","15""","10.1""",DVD-Writer,,1.70 GHz,Pentium,3558U,Dual-core (2 Core),Intel,Windows 7 Home Premium,64-bit,Windows,,,,,
540,8.879E+11,276427107,Acer,,ES1-512-C88M,276427107,887899764097,00887899764097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,22265896815,277142694,Toshiba,,PSCLYU-01303H,277142694,022265896815,00022265896815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,8.89899E+11,294123181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,9.44414E+11,270095410,Acer,,NX.V9VAA.002,270095410,887899740305,00887899740305,,6-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"14""",Intel,,DDR3 SDRAM,Shared,ComfyView,Notebook,NX.V9VAA.002,"Acer, Inc",TMP246-M-33PH,TravelMate TMP246-M-33PH Notebook,P246-M,Acer,4 GB,DDR3L SDRAM,TravelMate TMP246-M-33PH NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n,5.07 lb,Black,"1.2""","13.6""","9.8""",DVD-Writer,,1.80 GHz,Core i3,i3-4030U,,Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,,,,,
553,8.40135E+11,272813888,Nabi,,77D01910,272813888,840135100998,00840135100998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,8.84116E+11,291909703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,8.89801E+11,292338315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,8.88863E+11,283352783,ACER- CHROME PRODUCTS,,UM.WD1AA.B01,283352783,888863074914,00888863074914,,,,,,Yes,,6,4,,1920 x 1080,"21.5""",NVIDIA,Kepler GPU,DDR3 SDRAM,Shared,,All-in-One Computer,UM.WD1AA.B01,"Acer, Inc",,DC221HQ All-in-One Computer,,Acer,4 GB,DDR3 SDRAM, DC221HQ All-in-One Computer AC Adapter HDMI Cable USB Keyboard USB Mouse Power Cord ,,,Yes,Yes,,8.60 lb,White,"14.1""","20.9""","3""",,,2.10 GHz,Tegra K1,,,NVIDIA,Chrome OS,,Chrome OS,1 Year,,,,
564,8.88794E+11,283131010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,8.88772E+11,270690550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
